Band,Platform,Strategy,Variation,Run,LLM_Title,Gold_Title,Match_Score,Year,Substances covered,NLP Methodology,Journal/Conference,Authors,DOI,Match_Type,Review_Decision,Review_Reason
100 (exact),Ai2 Paper Finder,1,1,1,Natural language processing and machine learning to identify alcohol misuse from the electronic health record in trauma patients: development and internal validation,Natural language processing and machine learning to identify alcohol misuse from the electronic health record in trauma patients: development and internal validation,100.00%,2019,Alcohol,Rule-based; Conventional Machine Learning,JAMIA (Journal),Majid Afshar; Andrew Phillips; Niranjan Karnik; Jeanne Mueller; Daniel To; Richard Gonzalez; Ron Price; Richard Cooper; Cara Joyce; Dmitriy Dligach,10.1093/jamia/ocy166,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Automated detection of substance use information from electronic health records for a pediatric population,Automated detection of substance use information from electronic health records for a pediatric population,100.00%,2021,Alcohol; Opioids; Cannabis; Tobacco,"Rule-based; Conventional Machine Learning; Deep Learning (RNN, LSTM, GRU, ....)",JAMIA (Journal),Yizhao Ni; Alycia Bachtel; Katie Nause; Sarah Beal,10.2147/JPR.S389160,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Publicly available machine learning models for identifying opioid misuse from the clinical notes of hospitalized patients,Publicly available machine learning models for identifying opioid misuse from the clinical notes of hospitalized patients,100.00%,2020,Opioids,"Rule-based; Conventional Machine Learning; Deep Learning (RNN, LSTM, GRU, ....)",BMC Medical Informatics and Decision Making (Journal),Brihat Sharma; Dmitriy Dligach; Kristin Swope; Elizabeth Salisbury-Afshar; Niranjan S. Karnik; Cara Joyce; Majid Afshar,10.1016/j.ijmedinf.2021.104621,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Deployment of Real-time Natural Language Processing and Deep Learning Clinical Decision Support in the Electronic Health Record: Pipeline Implementation for an Opioid Misuse Screener in Hospitalized Adults,Deployment of Real-time Natural Language Processing and Deep Learning Clinical Decision Support in the Electronic Health Record: Pipeline Implementation for an Opioid Misuse Screener in Hospitalized Adults,100.00%,2023,Opioids,Conventional Machine Learning,JMIR Medical Informatics (Journal),Majid Afshar; Sabrina Adelaine; Felice Resnik; Marlon P Mundt; John Long; Margaret Leaf; Theodore Ampian; Graham J Wills; Benjamin Schnapp; Michael Chao; Randy Brown; Cara Joyce; Brihat Sharma; Dmitriy Dligach; Elizabeth S Burnside; Jane Mahoney; Matthew M Churpek; Brian W Patterson; Frank Liao,10.2196/44977,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Automatically identifying opioid use disorder in non-cancer patients on chronic opioid therapy,Automatically identifying opioid use disorder in non-cancer patients on chronic opioid therapy,100.00%,2022,Opioids,Rule-based,Health Informatics Journal (Journal),Vivienne J Zhu; Leslie A Lenert; Kelly S Barth; Kit N Simpson; Hong Li; Michael Kopscik; Kathleen T Brady,10.1371/journal.pone.0074262,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Automated Detection of Substance-Use Status and Related Information from Clinical Text,Automated Detection of Substance-Use Status and Related Information from Clinical Text,100.00%,2022,Alcohol; Tobacco; Any Substance Not Otherwise Specified,Rule-based,Sensors (Journal),Raid Alzubi; Hadeel Alzoubi; Stamos Katsigiannis; Daune West; Naeem Ramzan,10.3390/s22249609,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Using Natural Language Processing and Machine Learning to Identify Opioids in Electronic Health Record Data,Using Natural Language Processing and Machine Learning to Identify Opioids in Electronic Health Record Data,100.00%,2023,Opioids,Conventional Machine Learning,Journal of Pain Research (Journal),Sean P McDermott; Ajay D Wasan,10.1093/jamia/ocad073,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,A Comparison of Veterans with Problematic Opioid Use Identified through Natural Language Processing of Clinical Notes versus Using Diagnostic Codes,A Comparison of Veterans with Problematic Opioid Use Identified through Natural Language Processing of Clinical Notes versus Using Diagnostic Codes,100.00%,2024,Opioids,Rule-based; Conventional Machine Learning,Healthcare (Journal),Terri Elizabeth Workman; Joel Kupersmith; Phillip Ma; Christopher Spevak; Friedhelm Sandbrink; Yan Cheng; Qing Zeng-Treitler,10.1016/j.alcohol.2019.09.008,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,External validation of an opioid misuse machine learning classifier in hospitalized adult patients,External validation of an opioid misuse machine learning classifier in hospitalized adult patients,100.00%,2021,Opioids,"Deep Learning (RNN, LSTM, GRU, ....)",Addiction Science & Clinical Practice (Journal),Majid Afshar; Brihat Sharma; Sameer Bhalla; Hale M. Thompson; Dmitriy Dligach; Randy A. Boley; Ekta Kishen; Alan Simmons; Kathryn Perticone; Niranjan S. Karnik,10.1186/s13722-021-00229-7,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Extracting Alcohol and Substance Abuse Status from Clinical Notes: The Added Value of Nursing Data,Extracting alcohol and substance abuse status from clinical notes: The added value of nursing data,100.00%,2019,Alcohol; Any Substance Not Otherwise Specified,Conventional Machine Learning,Studies in Health Technology and Informatics (Conference/Proceedings), Topaz Maxim;  Murga Ludmila;  Bar-Bachar Ofrit;  Cato Kenrick;  Collins Sarah,10.5220/0012717200003756,Exact,Accepted,Verbatim title match (100% word overlap)
